player_name,nation,position,height_cm,weight_cm,shoots,player_type,nhl_right,draft,highlights,"description
"
Alexei Yashin,Russia,C/W,190,99,R,,,"('1', '2', '1992')","['1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time U18 EJC Silver Medal', '1-time Olympic Silver Medal', '1-time Olympic Bronze Medal', '1-time World Championship Bronze Medal', '1-time IIHF Hall of Fame', '1-time KHL Most Assists', '1-time NHL Second All-Star Team', '1-time Spengler Cup Winner']","Yashin was a highly skilled forward, scoring many goals and assists throughout his career, who made many NHL headlines for the wrong reasons. He tried to have his contract renegotiated three times in five years when he played with the Senators. He sat out the 1998-99 season over a contract dispute. He became the first Russian to be the full-time captain of an NHL team. He spent 12 seasons in NHL and moved back to Russia in 2007 after being bought out of the Islanders contract, where he continued his career. Even after retirement in 2012, he was still being paid by Islanders until 2015. In December 2012, he was appointed to the post of general manager of the Russian National Women's Team.

On the international stage, the former first rounder is a two-time member of Russia's Olympic team (1998 and 2002), a seven-time member of its World Championship team (1993, 1994, 1996, 1999, 2001, 2004 and 2005), two-time member of its World Junior team (1992, 1993) and a two-time member of its World Cup team."
Luc Robitaille,Canada,LW,185,93,L,,,"('9', '171', '1984')","['1-time World Championship Gold Medal', '1-time U20 WJC Silver Medal', '1-time CHL Player of the Year', '1-time Canada Cup Champion', '1-time Hockey Hall of Fame', '1-time NHL All-Rookie Team', '5-time NHL First All-Star Team', '1-time NHL Rookie of the Year (Calder Trophy)', '3-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time QMJHL First All-Star Team', '1-time QMJHL Most Assists', '1-time QMJHL Playoffs MVP (Guy Lafleur Trophy)', '1-time QMJHL Second All-Star Team']","The Los Angeles Kings legend won the Calder Trophy with 45 goals and 84 points in his rookie year. Robitaille ranks 13th all time with 668 goals throughout his Hall of Fame career. In 2002, Luc won his first Stanley Cup with the Detroit Red Wings."
Bill Guerin,USA,RW,188,100,R,"['Power Forward', 'Sniper', 'Speedster']",,"('1', '5', '1989')","['1-time World Cup Gold Medal', '1-time Olympic Silver Medal', '1-time NCAA (Hockey East) Champion', '1-time NHL Second All-Star Team', '2-time NHL Stanley Cup Champion', '1-time United States Hockey Hall of Fame']","Son: Liam Guerin

Guerin won his first Stanley Cup with the Devils in 1995, just his 3rd NHL season after being drafted 5th overall in 1989. Bill won World Cup gold in 1996 and captured a second Stanley Cup with the Penguins in 2009. The 6'2 power forward played in 4 All-Star games and retired in 2010 with 429 goals and 427 assists."
Mike Modano,USA,C,191,94,L,"['Playmaker', 'Sniper', 'Speedster']",,"('1', '1', '1988')","['1-time World Cup Gold Medal', '1-time Olympic Silver Medal', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NHL All-Rookie Team', '1-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time United States Hockey Hall of Fame', '1-time WHL (East) First All-Star Team']","Modano had an abundance of skill and speed. Despite being a big body, he owned outstanding skating ability. The center also displayed terrific two-way play throughout his career."
Alexander Mogilny,Russia,RW,183,95,L,"['Dangler', 'Sniper', 'Speedster']",,"('5', '89', '1988')","['1-time Olympic Gold Medal', '1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time Triple Gold Club', '1-time U20 WJC Silver Medal', '1-time Hockey Hall of Fame', '1-time NHL Gentleman Conduct (Lady Byng Trophy)', '1-time NHL Most Goals (Maurice Richard Trophy)', '2-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time U20 WJC All-Star Team', '1-time U20 WJC Best Forward', '1-time U20 WJC Most Points']","Mogilny is perhaps best known for being the first Russian to defect from the Soviet Union and join the NHL. He also holds the record for goals in a season by a Russian, scoring 76 in 1993. The 6x All-Star retired in 2006 with 473 goals and 1,032 points in 990 games and ranks 4th all-time in scoring among Russian players. Mogilny is a Triple Gold Club member and won the Maurice Richard and Lady Byng, as well as the Stanley Cup with the Devils in 2000."
Pierre Turgeon,Canada,C,185,90,L,,,"('1', '1', '1987')","['1-time Hockey Hall of Fame', '1-time NHL Gentleman Conduct (Lady Byng Trophy)', '1-time QMJHL Offensive Rookie of the Year (Michel Bergeron Trophy)']","Brother : Sylvain Turgeon
Daughters : Elizabeth Turgeon | Valérie Turgeon
Son : Dominic Turgeon
Elected to Hockey Hall of Fame -- 2023


The 5x All-Star scored 515 goals and 812 assists over 19 years playing for Buffalo, Montreal, St. Louis, Dallas, Colorado, and the New York Islanders. Turgeon had 2 seasons with 100+ points, including 1993 when he scored 58 goals and 74 assists and won the Lady Byng Trophy."
Adam Oates,Canada,C,180,86,R,,,,"['1-time AHL Calder Cup Champion', '1-time Hockey Hall of Fame', '1-time NCAA (Championship) Winner', '2-time NCAA (ECAC) Champion', '2-time NCAA (East) First All-American Team', '2-time NHL Most Assists', '1-time NHL Second All-Star Team']","Oates's 1,079 career assists are the 8th most by a player in NHL history. He totaled 1,420 points in 19 seasons, playing for Detroit, St. Louis, Boston, Washington, Philadelphia, Anaheim, and Edmonton. Oates also holds the record for most NHL points among all NCAA alumni."
Peter Bondra,Slovakia / Ukraine,RW,185,91,L,"['Sniper', 'Speedster']",,"('8', '156', '1990')","['3-time Slovakian Player of the Year (Golden puck)', '1-time World Championship Gold Medal', '1-time World Championship Bronze Medal', '1-time Czechoslovakia Extraliga Champion', '1-time IIHF Hall of Fame', '2-time NHL Most Goals (Maurice Richard Trophy)', '1-time Slovakian Extraliga Champion', '1-time World Championship All-Star Team']","The Washington Capitals legend led the NHL in goals in 1995 and 1998 and reached the 70-point plateau in 6 seasons. Bondra won World Championship gold with Slovakia in 2002 after leading the team with 7 goals. The 5x All-Star retired in 2007 with 503 goals and 892 points over 1,081 games."
Petr Sýkora,Czechia,RW,183,86,L,,,"('1', '18', '1995')","['3-time World Championship Gold Medal', '2-time U18 EJC Bronze Medal', '1-time World Championship Bronze Medal', '1-time NHL All-Rookie Team', '2-time NHL Stanley Cup Champion', '1-time NL Champion']","Sýkora owns great scoring instincts and a terrific shot to go along with it. On the downside, he can be inconsistent and lose some physical battles."
Robert Lang,Czechia,C,190,96,R,,,"('7', '133', '1990')","['1-time World Championship Gold Medal', '1-time Olympic Gold Medal', '2-time Olympic Bronze Medal', '2-time World Championship Bronze Medal']",Lang was a big center with outstanding playmaking ability. He had an excellent shot and would excel greatly on the powerplay. Would be criticised for being lazy and slow.
Milan Hejduk,Czechia / USA,RW,183,87,R,['Sniper'],,"('4', '87', '1994')","['1-time Olympic Gold Medal', '1-time World Championship Bronze Medal', '1-time Olympic Bronze Medal', '1-time Czech Extraliga Champion', '1-time Czech Extraliga Rookie of the Year', '1-time NHL All-Rookie Team', '1-time NHL Most Goals (Maurice Richard Trophy)', '1-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion']","Father: Milan Hejduk
Cousin: Tomas Hejduk
Sons: David Hejduk & Marek Hejduk

The Colorado Avalanche legend scored 375 goals and 805 points over 14 seasons. Hejduk won Olympic gold with the Czech Republic in 1998 and a Stanley Cup with the Avs in 2001 after scoring 23 points in the playoffs. He also won a Maurice Richard Trophy in 2003 after a career year with 50 goals, 98 points, and a +/- of 52. The 3x All-Star retired in 2013."
Brett Hull,USA / Canada,RW,180,91,R,"['Heavy Shooter', 'PP Specialist', 'Sniper']",,"('6', '117', '1984')","['1-time World Cup Gold Medal', '1-time AHL First All-Star Team', '1-time AHL Rookie of the Year (Red Garrett Memorial Award)', '1-time BCHL Top Scorer (Brett Hull Trophy)', '1-time Hockey Hall of Fame', '3-time NHL First All-Star Team', '1-time NHL Gentleman Conduct (Lady Byng Trophy)', '1-time NHL MVP Selected by NHLPA (Ted Lindsay Award)', '3-time NHL Most Goals (Maurice Richard Trophy)', '1-time NHL Most Valuable Player (Hart Trophy)', '2-time NHL Stanley Cup Champion', '1-time United States Hockey Hall of Fame']","Despite not being the best skater or a physical specimen, Hull managed to become one of the best snipers of all time. He was known for his ability to find open ice and making himself available for a pass. His one-timer had uncanny accuracy and velocity.

Father: Bobby Hull
Uncle: Dennis Hull
Brothers: Bart Hull, Blake Hull & Bobby Hull, Jr."
Keith Tkachuk,USA,LW,188,105,L,"['Power Forward', 'PP Specialist']",,"('1', '19', '1990')","['1-time World Cup Gold Medal', '1-time Olympic Silver Medal', '1-time U20 WJC Bronze Medal', '1-time NCAA (Hockey East) Champion', '1-time NHL Most Goals (Maurice Richard Trophy)', '2-time NHL Second All-Star Team', '1-time United States Hockey Hall of Fame']","A big body with a load of toughness and scoring ability, Tkachuk was a protypical power forward. He had a great shot that he didn't mind firing and loved to play a physical game."
Donald Audette,Canada,RW,173,87,R,,,"('9', '183', '1989')","['1-time AHL First All-Star Team', '1-time AHL Rookie of the Year (Red Garrett Memorial Award)', '1-time QMJHL First All-Star Team', '1-time QMJHL Playoffs MVP (Guy Lafleur Trophy)']",Son: Daniel Audette
Brian Leetch,USA,D,185,85,L,['Offensive Defenseman'],,"('1', '9', '1986')","['1-time World Cup Gold Medal', '1-time Olympic Silver Medal', '1-time U20 WJC Bronze Medal', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NCAA (East) First All-American Team', '1-time NCAA (Hockey East) Champion', '1-time NHL All-Rookie Team', '2-time NHL Best Defenseman (Norris Trophy)', '1-time NHL Contribution to U.S. Hockey (Lester Patrick Trophy)', '2-time NHL First All-Star Team', '1-time NHL Rookie of the Year (Calder Trophy)', '3-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time NHL Stanley Cup MVP (Conn Smythe Trophy)', '1-time Olympic All-Star Team', '1-time U20 WJC All-Star Team', '1-time United States Hockey Hall of Fame']","Leetch holds the NHL record for goals by a rookie defenseman, scoring 23 in 1989 and winning the Calder Trophy. Brian won a Stanley Cup with the Rangers in 1994 and became the first American to win a Conn Smythe. The 9x All-Star also won a Lester Patrick and 2 Norris Trophies as well as World Cup gold. Leetch retired in 2007 with 247 goals and 1,028 points, the 2nd most in history by an American defenseman."
Petr Nedvěd,Czechia / Canada,C,192,93,L,,,"('1', '2', '1990')","['1-time Olympic Silver Medal', '1-time World Championship Bronze Medal', '1-time CHL Rookie of the Year', '1-time Czech Extraliga Most Assists', '1-time Czech Extraliga Most Points', '1-time Czech Extraliga Player of the Year', '1-time WHL Rookie of the Year (Jim Piggott Trophy)']","Nedvěd was a big center with great hands and puck-handling ability. He was also a good skater and had a terrific wrist shot. Known as an offensive player, his defensive game wasn't always up to task. Didn't always display a good attitude."
Mark Recchi,Canada / USA,RW,178,88,L,,,"('4', '67', '1988')","['1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time Hockey Hall of Fame', '1-time NHL Most Assists', '1-time NHL Second All-Star Team', '3-time NHL Stanley Cup Champion', '1-time WHL (West) First All-Star Team', '1-time WHL Most Assists']","Sons: Cameron Recchi, Luke Recchi
Brother: Matt Recchi

Recchi's 1,652 games played are the 6th most by a player in NHL history. The 7x All-Star scored 577 goals and 956 assists in 22 seasons, winning 3 Stanley Cups with Pittsburgh, Carolina, and Boston."
Alex Tanguay,Canada,LW,185,88,L,['Playmaker'],,"('1', '12', '1998')","['1-time CHL All-Rookie Team', '1-time NHL Stanley Cup Champion', '1-time QMJHL All-Rookie Team']","Brother: Maxime Tanguay
Cousin: Tyler Tanguay
Sons: Blake Tanguay | Sam Tanguay


Tanguay clinched a Stanley Cup for the Avalanche with 2 goals in Game 7 of the 2001 Cup Finals. The playmaking winger recorded 6 seasons with 60+ points and retired in 2016 with 283 goals and 580 assists."
Mario Lemieux,Canada,C,194,105,R,['Dangler'],,"('1', '1', '1984')","['1-time Olympic Gold Medal', '1-time World Cup Gold Medal', '1-time World Championship Silver Medal', '1-time CHL Player of the Year', '1-time CHL Top Scorer Award', '1-time Canada Cup Champion', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NHL All-Rookie Team', '1-time NHL Contribution to U.S. Hockey (Lester Patrick Trophy)', '5-time NHL First All-Star Team', '4-time NHL MVP Selected by NHLPA (Ted Lindsay Award)', '3-time NHL Most Assists', '3-time NHL Most Goals (Maurice Richard Trophy)', '6-time NHL Most Points (Art Ross Trophy)', '3-time NHL Most Valuable Player (Hart Trophy)', '1-time NHL Rookie of the Year (Calder Trophy)', '4-time NHL Second All-Star Team', '1-time NHL Sportsmanship Award (Bill Masterton Trophy)', '2-time NHL Stanley Cup Champion', '2-time NHL Stanley Cup MVP (Conn Smythe Trophy)', '1-time QMJHL Champion', '1-time QMJHL First All-Star Team', '1-time QMJHL Most Assists', '1-time QMJHL Most Goals', '1-time QMJHL Most Points (Jean Beliveau Trophy)', '1-time QMJHL Most Valuable Player (Michel Brière Trophy)', '1-time QMJHL Playoffs MVP (Guy Lafleur Trophy)', '1-time QMJHL Second All-Star Team']","Brother: Alain Lemieux
Son: Austin Lemieux
Nephew: Mikael Lemieux

With 1,723 points in 915 games, ""Super Mario"" retired with the 2nd highest PPG rate in NHL history. The Pittsburgh Penguins legend used his 6'4 frame and offensive talents to dominate over his career, winning 2 Stanley Cups, 6 Art Ross Trophies, and several other awards."
Brendan Shanahan,Canada / USA,LW,191,100,R,['Power Forward'],,"('1', '2', '1987')","['1-time World Championship Gold Medal', '1-time Olympic Gold Medal', '1-time Triple Gold Club', '1-time Canada Cup Champion', '1-time Hockey Hall of Fame', '2-time NHL First All-Star Team', '1-time NHL Leadership-Humanitarian Award (King Clancy Trophy)', '1-time NHL Second All-Star Team', '3-time NHL Stanley Cup Champion', '1-time OHL Third All-Star Team']","Son: Jack Shanahan
Nephew: Devlin Shanahan
Second cousin: Luke Evangelista

Shanahan is the only player in NHL history with over 600 goals and 2,000 penalty minutes. The 6'3 power forward totaled 656 goals, 698 assists, and 2,489 PIMs over his 21-year career, winning 3 Stanley Cups with Detroit from 1997-2002."
Jeremy Roenick,USA,C,185,93,R,['Heavy Hitter'],,"('1', '8', '1988')","['1-time Olympic Silver Medal', '1-time Hockey Hall of Fame', '1-time QMJHL Second All-Star Team', '1-time U20 WJC All-Star Team', '1-time U20 WJC Most Points', '1-time United States Hockey Hall of Fame']","With over 1000 NHL points, Jeremy Roenick is one of the best American-born players in history."
Ray Ferraro,Canada,C,178,87,L,,,"('5', '88', '1982')","['2-time World Championship Silver Medal', '1-time BCHL Top Scorer (Brett Hull Trophy)', '1-time CHL Memorial Cup Champion', '1-time WHL (East) First All-Star Team', '1-time WHL Most Points (Bobby Clarke Trophy)', '1-time WHL Player of the Year (Four Broncos Trophy)']","Wife: Cammi Granato
Sons: Landon Ferraro & Matt Ferraro
Brothers-in-law: Don Granato & Tony Granato
Nephews: Dominic Granato & Mike Granato

Ferraro won a Memorial Cup with the Brandon Wheat Kings after being drafted by the Hartford Whalers in 1982. He recorded 9 seasons with 50+ points and retired in 2002 with 408 goals and 490 assists after 18 years in the NHL."
Markus Näslund,Sweden,LW,182,89,L,"['Offensive Forward', 'Sniper']",,"('1', '16', '1991')","['1-time TV-Pucken Gold Medal', '1-time U18 EJC Gold Medal', '1-time J18 SM Gold Medal', '2-time J20 SM Gold Medal', '2-time U20 WJC Silver Medal', '1-time World Championship Silver Medal', '2-time World Championship Bronze Medal', '3-time NHL First All-Star Team', '1-time NHL MVP Selected by NHLPA (Ted Lindsay Award)', '1-time TV-Pucken Best Forward (Sven Tumbas Stipendium)', '1-time U20 WJC All-Star Team']","Sister: Diana Palm
Son: Alex Näslund

The longtime Vancouver Canuck totaled 395 goals and 474 assists over his 15-year career. Naslund won a Ted Linsay Award in 2003 after setting a career-high 48 goals and 104 points. The 5x All-Star retired from the NHL in 2009."
Steve Sullivan,Canada,LW,173,70,R,['Dangler'],,"('9', '233', '1994')","['1-time AHL Calder Cup Champion', '1-time AHL First All-Star Team', '1-time CHL Memorial Cup Champion', '1-time NHL Sportsmanship Award (Bill Masterton Trophy)', '1-time NOJHL Rookie of the Year', '1-time OHL Second All-Rookie Team']","Brother: Gary Sullivan
Son: Aidyn Sullivan, Garner Sullivan
Nephew: Riley Brousseau

Sullivan was drafted in the 9th round of the 1994 Draft after winning a Memorial Cup with the Soo Greyhounds in 1993. He reached the 60-point mark 7 times over 16 seasons and retired in 2013 with 290 goals and 747 points."
Marián Hossa,Slovakia,RW,187,94,L,"['Dangler', 'Sniper', 'Two-Way Forward']",,"('1', '12', '1997')","['6-time Slovakian Player of the Year (Golden puck)', '1-time CHL All-Rookie Team', '1-time CHL First All-Star Team', '1-time CHL Memorial Cup Champion', '1-time Hockey Hall of Fame', '1-time NHL All-Rookie Team', '1-time NHL Second All-Star Team', '3-time NHL Stanley Cup Champion', '1-time Slovakian Extraliga Champion', '1-time WHL (West) First All-Star Team', '1-time WHL Champion', '1-time WHL Rookie of the Year (Jim Piggott Trophy)']","Hossa is a very skilled winger with awesome offensive instincts. Handles the puck extremely well and with great poise. Hard to knock off stride, strong as an ox. Owns a terrific shot, both slap and wrist. Backchecks very hard even though he is an offense-first player."
Sergei Samsonov,Russia,LW,174,84,R,,,"('1', '8', '1997')","['1-time U18 EJC Gold Medal', '2-time U20 WJC Bronze Medal', '1-time Olympic Bronze Medal', '1-time Hlinka Gretzky Cup Most Points', '1-time Hlinka Gretzky Cup Most Valuable Player', '1-time NHL All-Rookie Team', '1-time NHL Rookie of the Year (Calder Trophy)', '1-time RSL Champion', '1-time U20 WJC All-Star Team']","Samsonov entered the NHL with a boom. Displaying impressive stickhandling ability and terrific shiftiness, he was named Rookie of the Year. A wrist injury suffered during the 2002-03 season was the beginning of the end for the Russian winger. The following year, knee and rib injuries slowed him down further, and the old Samsonov never really returned."
Theo Fleury,Canada,RW,168,82,R,"['Agitator', 'Sniper']",,"('8', '166', '1987')","['1-time U20 WJC Gold Medal', '1-time Olympic Gold Medal', '1-time World Championship Silver Medal', '1-time Canada Cup Champion', '1-time EIHL Most Assists', '1-time EIHL Most Points', '1-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time U20 WJC All-Star Team', '1-time WHL (East) First All-Star Team', '1-time WHL (East) Second All-Star Team', '1-time WHL Most Points (Bobby Clarke Trophy)']","Cousin: Todd Holt

The 5'6 winger proved that height is just a number, scoring 455 goals and 1,088 points in 1,084 games. Fleury won the Stanley Cup with the Flames as a rookie in 1989 and later won Olympic gold with Canada in 2002. Theo set career highs in 1991 with 51 goals and 104 points and made 7 All-Star game appearances over his career."
