player_name_ep,player_link_ep,date_of_birth,nation,player_pos,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
Greg De Vries,https://www.eliteprospects.com/player/8557/greg-de-vries,1/4/1973,Canada,D,190,95,L,,,,['1-time NHL Stanley Cup Champion'],"Son: Luke De Vries
Nephew: Nate Tivey"
Dan Hinote,https://www.eliteprospects.com/player/5534/dan-hinote,1/30/1977,USA,RW,183,87,R,,,"('7', '167', '1996')","['1-time NHL Stanley Cup Champion', '1-time OHL Champion']",
Jon Klemm,https://www.eliteprospects.com/player/9017/jon-klemm,1/8/1970,Canada,D,188,92,R,,,,"['1-time CHL Memorial Cup Champion', '2-time NHL Stanley Cup Champion', '1-time WHL (West) Second All-Star Team', '1-time WHL Champion']",
Adam Foote,https://www.eliteprospects.com/player/9157/adam-foote,7/10/1971,Canada,D,188,103,R,['Defensive Defenseman'],,"('2', '22', '1989')","['1-time Olympic Gold Medal', '1-time World Cup Gold Medal', '2-time NHL Stanley Cup Champion', '1-time OHL Champion', '1-time OHL First All-Star Team']","Sons: Cal Foote, Nolan Foote"
Stephane Yelle,https://www.eliteprospects.com/player/8795/stephane-yelle,5/9/1974,Canada,C,185,88,L,['PK Specialist'],,"('8', '186', '1992')",['2-time NHL Stanley Cup Champion'],
Aaron Miller,https://www.eliteprospects.com/player/8980/aaron-miller,8/11/1971,USA,D,191,95,R,,,"('5', '88', '1989')","['1-time Olympic Silver Medal', '1-time World Championship Bronze Medal', '1-time NCAA (East) Second All-American Team']",
Eric Messier,https://www.eliteprospects.com/player/24171/eric-messier,10/29/1973,Canada,D/LW,180,91,L,,,,"['1-time AHL Calder Cup Champion', '1-time NHL Stanley Cup Champion', '1-time QMJHL Second All-Star Team']",
Rob Blake,https://www.eliteprospects.com/player/8580/rob-blake,12/10/1969,Canada,D,193,100,R,"['Heavy Hitter', 'Offensive Defenseman']",,"('4', '70', '1988')","['2-time World Championship Gold Medal', '1-time Olympic Gold Medal', '1-time Triple Gold Club', '1-time World Championship Silver Medal', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NCAA (CCHA) Champion', '1-time NCAA (West) First All-American Team', '1-time NHL All-Rookie Team', '1-time NHL Best Defenseman (Norris Trophy)', '1-time NHL First All-Star Team', '3-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time Olympic Best Defenseman', '1-time World Championship All-Star Team', '1-time World Championship Best Defenseman']","At 6'4, 220 lbs, Rob Blake was one of the NHL's most feared defensemen in the 1990s and 2000s. He won gold twice at the World Championship in 1994 and 97 and was named captain of the Kings in 1996. He won a Norris Trophy in 1998 with a career-high of 23 goals. Blake later won a Stanley Cup with the Avalanche in 2001 and became a Triple Gold Club member after winning Olympic gold in 2002. The 7x All-Star retired in 2010 with 240 goals and 777 points. He was inducted into the Hockey Hall of Fame in 2015."
Dave Reid,https://www.eliteprospects.com/player/67436/dave-reid,5/15/1964,Canada,LW,185,98,L,,,"('3', '60', '1982')",['2-time NHL Stanley Cup Champion'],
Steve Reinprecht,https://www.eliteprospects.com/player/8725/steven-reinprecht,5/7/1976,Canada,C,183,88,L,,,,"['1-time World Championship Gold Medal', '1-time AEHL U18 MVP (Warwick Trophy)', '1-time DEL Most Assists', '1-time DEL Most Points', '1-time French Champion', '1-time Ligue Magnus Most Points (Charles Ramsey Trophy)', '1-time NCAA (West) First All-American Team', '1-time NHL Stanley Cup Champion']","A fast-skating center, Reinprecht can be very effective at wing as well. Has natural offensive flair and is defensively responsible.

Hasn't produced points equal to his talent. Can get pushed off the puck a bit easily. Doesn't play a physical game."
Scott Parker,https://www.eliteprospects.com/player/8904/scott-parker,1/29/1978,USA,RW,196,109,R,['Enforcer'],,"('1', '20', '1998')",['1-time NHL Stanley Cup Champion'],
Rick Berry,https://www.eliteprospects.com/player/11494/rick-berry,11/4/1978,Canada,D,188,97,L,,,"('3', '55', '1997')",[],"Cousins: Stu Scantlebury, Brad Cole, Scott Swiston, Tucker Scantlebury"
Nolan Pratt,https://www.eliteprospects.com/player/8747/nolan-pratt,8/14/1975,Canada,D,190,97,L,,,"('5', '115', '1993')",['1-time NHL Stanley Cup Champion'],"A stay-at-home defenseman who's at his best when playing a physical, safe game and keeping it simple. A solid leader.
Lacks offensive flair and is below average in the skating department."
Chris Dingman,https://www.eliteprospects.com/player/9136/chris-dingman,7/6/1976,Canada,LW,193,112,L,"['Checking-line Player', 'Heavy Hitter', 'Physical Forward']",,"('1', '19', '1994')","['2-time NHL Stanley Cup Champion', '1-time WHL Champion']",Sons: Hunter Dingman & Sawyer Dingman
Alexei Gusarov,https://www.eliteprospects.com/player/21401/alexei-gusarov,7/8/1964,Russia,D,186,90,L,,,"('11', '213', '1988')","['1-time U20 WJC Gold Medal', '3-time World Championship Gold Medal', '1-time Olympic Gold Medal', '1-time Triple Gold Club', '1-time World Championship Silver Medal', '1-time Olympic Silver Medal', '1-time U18 EJC Bronze Medal', '2-time World Championship Bronze Medal', '1-time NHL Stanley Cup Champion', '1-time U20 WJC All-Star Team', '1-time U20 WJC Best Defenseman']",
Rob Shearer,https://www.eliteprospects.com/player/11548/rob-shearer,10/19/1976,Canada,C,175,85,R,,,,"['1-time AHL Calder Cup Champion', '1-time DEL Champion']",
Joel Prpic,https://www.eliteprospects.com/player/44608/joel-prpic,9/25/1974,Canada / Croatia,C,200,107,L,,,"('9', '233', '1993')","['2-time ACH Champion', '1-time AHL Calder Cup Champion']",Brother-in-law: Robb Tallas
Yuri Babenko,https://www.eliteprospects.com/player/19121/yury-babenko,1/2/1978,Russia,C/W,183,87,L,,,"('2', '51', '1996')","['1-time U18 EJC Gold Medal', '2-time KHL Gagarin Cup Champion']",
Bryan Muir,https://www.eliteprospects.com/player/4317/bryan-muir,6/8/1973,Canada,D,193,93,L,,,,"['1-time AHL First All-Star Team', '1-time NHL Stanley Cup Champion']","Son: Kaden Muir

Muir has had his share of injuries throughout his career which has also made it difficult for him to fully establish himself in the NHL. He has great size and is a quite offensive minded defenseman. He moves the puck well, can be used on the power play and is not afraid to use his body. But seeing that he has a physical advantage on most opposing players he could increase/improve his physical play even more."
Brad Larsen,https://www.eliteprospects.com/player/8561/brad-larsen,6/28/1977,Canada,LW,183,90,L,,,"('4', '87', '1997')","['2-time U20 WJC Gold Medal', '1-time NHL Stanley Cup Champion', '1-time WHL (East) Second All-Star Team']",
Radim Vrbata,https://www.eliteprospects.com/player/8626/radim-vrbata,6/13/1981,Czechia,RW/LW,185,88,R,,,"('7', '212', '1999')","['1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time QMJHL First All-Star Team']","Vrbata is an offensive winger with great hands and anticipation. His shot is terrific and so is his skating ability. On the downside, he can be inconsitent and lose some board battles."
Brian Willsie,https://www.eliteprospects.com/player/8768/brian-willsie,3/16/1978,Canada,RW,185,89,R,,,"('6', '146', '1996')","['1-time CHL Third All-Star Team', '1-time OHL Champion', '1-time OHL First All-Star Team']","Sons: Braden Willsie, Nash Willsie"
Pascal Trepanier,https://www.eliteprospects.com/player/12796/pascal-trepanier,9/4/1973,Canada,D,180,87,R,,,,"['1-time AHL Calder Cup Champion', '1-time AHL Second All-Star Team', '1-time DEL Champion', '1-time SL Champion']",Trépanier was a skilled offensive defenseman. He had great vision and passing ability from the backend. Also owned a heavy one-timer and leadership qualities.
Mike Keane,https://www.eliteprospects.com/player/25136/mike-keane,5/29/1967,Canada,RW,178,84,R,['PK Specialist'],,,['3-time NHL Stanley Cup Champion'],"Brother: Bill Keane Son: Jackson Keane
Nephew: Geordie Keane"
Riku Hahl,https://www.eliteprospects.com/player/2671/riku-hahl,11/1/1980,Finland,C,184,93,L,"['Defensive Center', 'Grinder', 'Two-Way Forward']",,"('6', '183', '1999')","['1-time U18 EJC Silver Medal', '2-time World Championship Bronze Medal']",
Vaclav Nedorost,https://www.eliteprospects.com/player/8710/vaclav-nedorost,3/16/1982,Czechia,C/LW,186,86,L,,,"('1', '14', '2000')","['2-time U20 WJC Gold Medal', '1-time Continental Cup Champion', '1-time Czech Extraliga Rookie of the Year']","Brother: David Nedorost
Son: Václav Nedorost
Nedorost is a two-way player who can play any forward position. Has terrific speed, good vision, and sound offensive instincts. Didn't live up to his potential as a high draft pick. Has battled injury issues throughout his career."
Todd Gill,https://www.eliteprospects.com/player/69416/todd-gill,11/9/1965,Canada,D,183,84,L,,,"('2', '25', '1984')",['1-time OHL Third All-Star Team'],"Sons: Jack Gill, Owen Gill"
Kelly Fairchild,https://www.eliteprospects.com/player/15424/kelly-fairchild,4/9/1973,USA,C,181,90,L,,,"('7', '152', '1991')","['1-time Asia League Champion', '2-time DEL Champion']",
Jordan Krestanovich,https://www.eliteprospects.com/player/6606/jordan-krestanovich,6/14/1981,Canada,C,186,82,L,,,"('5', '152', '1999')",['1-time WHL Champion'],
Jeff Daw,https://www.eliteprospects.com/player/69477/jeff-daw,2/28/1972,Canada,C,191,86,R,"['Glue Guy', 'Leader', 'Two-Way Center']",,,[],
Jaroslav Obsut,https://www.eliteprospects.com/player/3736/jaroslav-obsut,9/3/1976,Slovakia,D,186,95,L,,,"('8', '188', '1995')",[],"A two-way defenseman with good hockey sense, Obšut had decent size and knew how to use it. He read the game well and played it simple. Offensively, he was willing to join the rush and had a bomb of shot from the point.
- Erik K."
Steve Moore,https://www.eliteprospects.com/player/42057/steve-moore,9/22/1978,Canada,C,188,93,R,,,"('2', '53', '1998')",[],"Brothers: Dominic Moore, Mark Moore"
Darius Kasparaitis,https://www.eliteprospects.com/player/8685/darius-kasparaitis,10/16/1972,Lithuania / Russia,D,179,94,L,"['Agitator', 'Defensive Defenseman', 'Heavy Hitter']",,"('1', '5', '1992')","['1-time Olympic Gold Medal', '1-time U20 WJC Gold Medal', '1-time U18 EJC Silver Medal', '1-time U20 WJC Silver Medal', '1-time Olympic Silver Medal', '1-time Olympic Bronze Medal', '1-time U20 WJC Best Defenseman']","Kasparaitis is one of two Lithuanians who made it to the NHL. He was 20 when he came to the NHL and immediately established himself as one of the most punishing body-checkers in professional hockey. He was extremely unpopular with opponents, who could be seen emerging from encounters in the corners with Kasparaitis in a state of sheer rage. During his career, the hard-hitting Kasparaitis has suffered at least as much pain as he has inflicted on others. A strong skater who mostly concentrated on the defensive side of the game, Kasparaitis had an infectious enthusiasm for the game. He left the NHL in 2007 and played two more seasons for SKA St. Petersburg in the KHL before retiring as a professional player. But after four years without official hockey games he came back. In 2013 he made his formal transfer back to Lithuania and joined the Hockey Punks Vilnius. He has played four consecutive seasons in the top Lithuanian league. In his playing days he was known as a big spender, blowing his high paychecks on clothes and cars and nights out. But he has settled down and started his own real estate development company.

In 1992 during the split up he stayed with the Russian system, won Olympic gold with the ""Unified Team"", he represented Russia in the World Championship as he did in 1996, at three more Olympic Winter Games (1998, 2002, 2006) and the 2004 World Cup of Hockey."
Derek Morris,https://www.eliteprospects.com/player/8963/derek-morris,8/24/1978,Canada,D,183,97,R,,,"('1', '13', '1996')","['1-time World Championship Gold Medal', '1-time CHL Second All-Star Team', '1-time NHL All-Rookie Team', '1-time WHL (East) First All-Star Team']","Sons: Traiten Morris, Presley Morris"
Dean McAmmond,https://www.eliteprospects.com/player/8972/dean-mcammond,6/15/1973,Canada,LW,180,88,L,,,"('1', '22', '1991')","['1-time U20 WJC Gold Medal', '1-time World Championship Silver Medal', '1-time WHL Champion']","Brother: Ian McAmmond
Nephew: Jared McAmmond"
Serge Aubin,https://www.eliteprospects.com/player/8785/serge-aubin,2/15/1975,Canada,C/LW,185,91,L,,,"('7', '161', '1994')","['1-time AHL First All-Star Team', '1-time NL Media All-Star Team', '1-time SL Champion', '1-time Spengler Cup Winner']",Son: Charles Aubin
Jeff Shantz,https://www.eliteprospects.com/player/12798/jeff-shantz,10/10/1973,Canada,C,183,95,R,,,"('2', '36', '1992')","['1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time DEL Champion', '1-time ICEHL Champion', '1-time Spengler Cup Winner', '1-time WHL (East) First All-Star Team']",Sons: Ethan Shantz Owen Shantz
Bates Battaglia,https://www.eliteprospects.com/player/10213/bates-battaglia,12/13/1975,USA,LW,188,93,L,,,"('6', '132', '1994')","['1-time World Championship Bronze Medal', '1-time HockeyEttan to HockeyAllsvenskan Promotion', '1-time NCAA (CCHA) Champion']","Battaglia was a hard working winger. In the NHL, he was a good checker and penalty kill, as well as a quality team player.

Grandfather: Sam Battaglia (external link)
Brother: Anthony Battaglia
Cousin: Bryce Battaglia

Bates Battaglia participated in the TV-show Amazing Race with his brother Anthony Battaglia. The brothers won the race in the 22nd season of the tv-show."
Bryan Marchment,https://www.eliteprospects.com/player/8966/bryan-marchment,5/1/1969,Canada,D,188,97,L,['Heavy Hitter'],,"('1', '16', '1987')",['1-time OHL Second All-Star Team'],"Marchment, 53, died on July 6, 2022, in Montreal, Que."
Denis Smith,https://www.eliteprospects.com/player/69476/d.j.-smith,5/13/1977,Canada,D,185,93,L,,,"('2', '41', '1995')",['1-time OHL Second All-Star Team'],Son: Colton Smith
Chris McAllister,https://www.eliteprospects.com/player/12803/chris-mcallister,6/16/1975,Canada,D,197,108,L,"['Defensive Defenseman', 'Enforcer']",,"('2', '40', '1995')",[],
Steve Brule,https://www.eliteprospects.com/player/15134/steve-brule,1/15/1975,Canada,RW,180,92,R,,,"('6', '143', '1993')","['1-time AHL Calder Cup Champion', '1-time LNAH Champion', '1-time NHL Stanley Cup Champion', '1-time QMJHL All-Rookie Team', '1-time QMJHL Offensive Rookie of the Year (Michel Bergeron Trophy)', '1-time QMJHL Rookie of the Year', '1-time QMJHL Second All-Star Team', '1-time SL Champion']",
Jeff Paul,https://www.eliteprospects.com/player/13506/jeff-paul,3/1/1978,Canada,D,191,101,R,,,"('2', '42', '1996')",['1-time Dutch Champion'],
Charlie Stephens,https://www.eliteprospects.com/player/13509/charlie-stephens,4/5/1981,Canada,C/RW,191,100,R,,,"('6', '196', '2001')",[],"Stephens is a big center with a strong physical game. Has a good shot and offensive ability. Likes to hit, but sometimes takes bad penalties."
Steve Konowalchuk,https://www.eliteprospects.com/player/9020/steve-konowalchuk,11/11/1972,USA,LW,185,90,L,['PK Specialist'],,"('3', '58', '1991')","['1-time World Cup Gold Medal', '1-time U20 WJC Bronze Medal', '1-time CHL Second All-Star Team', '1-time WHL (West) First All-Star Team', '1-time WHL Player of the Year (Four Broncos Trophy)']",Brother: Brian Konowalchuk
Paul Kariya,https://www.eliteprospects.com/player/9002/paul-kariya,10/16/1974,Canada,LW,178,82,L,['Speedster'],,"('1', '4', '1993')","['1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time Olympic Gold Medal', '1-time Olympic Silver Medal', '1-time World Championship Silver Medal', '1-time CJHL RBC Player of the Year', '1-time Hockey Hall of Fame', '1-time NCAA (Championship) Winner', '1-time NCAA (East) First All-American Team', '1-time NCAA (Hockey East) Champion', '1-time NCAA Top Collegiate Player (Hobey Baker Award)', '1-time NHL All-Rookie Team', '3-time NHL First All-Star Team', '2-time NHL Gentleman Conduct (Lady Byng Trophy)', '2-time NHL Second All-Star Team', '1-time U20 WJC All-Star Team', '2-time World Championship All-Star Team', '1-time World Championship Best Forward']","Brothers: Martin Kariya & Steve Kariya

Kariya was a star from the get-go, drafted 4th overall in 1993 after scoring 100 points in 39 games in the NCAA. In just his 2nd NHL season, he set a career-high with 50 goals and 108 points. Kariya went on to record 402 goals and 989 points in 989 games, retiring in 2010 with 2 Lady Byng Trophies as well as Olympic, World Championship, and World Junior Championship gold."
John-Michael Liles,https://www.eliteprospects.com/player/8734/john-michael-liles,11/25/1980,USA,D,178,84,L,['Offensive Defenseman'],,"('5', '159', '2000')","['2-time NCAA (CCHA) Champion', '1-time NCAA (West) First All-American Team', '1-time NCAA (West) Second All-American Team', '1-time NHL All-Rookie Team']",
Teemu Selanne,https://www.eliteprospects.com/player/2683/teemu-selanne,7/3/1970,Finland,RW,183,91,R,"['Sniper', 'Speedster']",,"('1', '10', '1988')","['1-time Liiga Golden Helmet', '1-time U18 EJC Silver Medal', '1-time World Championship Silver Medal', '1-time Olympic Silver Medal', '3-time Olympic Bronze Medal', '1-time World Championship Bronze Medal', '1-time Finnish Hockey Hall of Fame', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '2-time Liiga All-Star Team', '1-time Liiga Champion', '1-time NHL All-Rookie Team', '2-time NHL First All-Star Team', '3-time NHL Most Goals (Maurice Richard Trophy)', '1-time NHL Rookie of the Year (Calder Trophy)', '2-time NHL Second All-Star Team', '1-time NHL Sportsmanship Award (Bill Masterton Trophy)', '1-time NHL Stanley Cup Champion', '2-time Olympic All-Star Team', '1-time Olympic Best Forward', '2-time Olympic Most Points', '1-time Olympic Most Valuable Player', '1-time World Championship All-Star Team', '1-time World Championship Most Valuable Player']","Selänne is arguably the best Finnish player of all time. He was known as an excellent skater throughout his career, which earned him the nickname Finnish Flash. The prolific sniper became a phenomenon in the NHL already in his rookie season. In addition, he was respected as a player and a leader by his teammates, coaches and even by players from the opposing teams."
Karlis Skrastins,https://www.eliteprospects.com/player/5531/karlis-skrastins,7/9/1974,Latvia,D,188,93,L,,,"('9', '230', '1998')",['2-time Latvian Champion'],
Andrei Nikolishin,https://www.eliteprospects.com/player/19685/andrei-nikolishin,3/25/1973,Russia,LW,184,98,L,,,"('2', '47', '1992')","['1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time U18 EJC Silver Medal']",Sons:Alexander Nikolishin and Ivan Nikolishin
Matthew Barnaby,https://www.eliteprospects.com/player/9073/matthew-barnaby,5/4/1973,Canada,RW/LW,185,87,L,"['Agitator', 'Enforcer']",,"('4', '83', '1992')",['1-time CHL Third All-Star Team'],Son: Matthew Barnaby
Travis Brigley,https://www.eliteprospects.com/player/13508/travis-brigley,6/16/1977,Canada,LW,185,86,L,,,"('2', '39', '1996')","['1-time Allan Cup Champion', '1-time Norwegian Champion', '1-time WHL Champion']",
Cody McCormick,https://www.eliteprospects.com/player/8975/cody-mccormick,4/18/1983,Canada,C/W,188,103,R,,,"('5', '144', '2001')",['1-time OHL First All-Star Team'],
Peter Worrell,https://www.eliteprospects.com/player/69474/peter-worrell,8/18/1977,Canada,LW,198,107,L,['Enforcer'],,"('7', '166', '1995')",['1-time CHL Memorial Cup Champion'],
Darby Hendrickson,https://www.eliteprospects.com/player/23275/darby-hendrickson,8/28/1972,USA,C,186,93,L,,,"('4', '73', '1990')","['1-time World Championship Bronze Medal', '1-time ICEHL Champion', '1-time Latvian Champion']","Sons: Beckett Hendrickson & Mason Hendrickson
Brother: Dan Hendrickson
Father: Larry Hendrickson"
Chris Gratton,https://www.eliteprospects.com/player/9167/chris-gratton,7/5/1975,Canada,C,193,104,L,,,"('1', '3', '1993')","['1-time U17 WHC Gold Medal', '1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time OHL First All-Rookie Team', '1-time OHL Rookie of the Year (Emms Family Award)', '1-time OHL Third All-Star Team']","Son: Zachary Gratton
Cousins: Brad Gratton, Danny Gratton & Josh Gratton"
Jim Cummins,https://www.eliteprospects.com/player/20596/jim-cummins,5/17/1970,USA,RW,188,95,R,['Enforcer'],,"('4', '67', '1989')","['1-time AHL Calder Cup Champion', '2-time NCAA (CCHA) Champion']",
Marek Svatos,https://www.eliteprospects.com/player/8604/marek-svatos,6/17/1982,Slovakia,RW,178,82,R,,,"('7', '227', '2001')","['1-time CHL Memorial Cup Champion', '1-time Slovakian Extraliga Champion', '1-time U20 WJC All-Star Team', '1-time WHL (West) Second All-Star Team', '1-time WHL Champion']","Svatoš died on 5 November, 2016 at his home in Lone Tree, Colorado at the age of 34. He was survived by his wife, Diana, and two children. It was revealed on 5 December 2016 that Svatoš death was due to mixed drug intoxication."
Brett Clark,https://www.eliteprospects.com/player/9113/brett-clark,12/23/1976,Canada,D,183,85,L,,,"('6', '154', '1996')",[],Uncle: Dave Dunn
